Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
India,22,79,Present,-,Not recorded,-,Not recorded,-,Patil et al. (2012),-
 - Karnataka,14.66667,75.83333,Present,-,Not recorded,-,Not recorded,-,CABI Data Mining (Undated),-
Mexico,23,-102,Present,-,Not recorded,-,Not recorded,-,Segura et al. (2004),-
Papua New Guinea,-6,147,Present,-,Not recorded,-,Not recorded,-,CABI Data Mining (Undated),-
Brazil,-10,-55,Present,-,Not recorded,-,Not recorded,-,Barguil et al. (2005),-
 - Minas Gerais,-18,-44,Present,-,Not recorded,-,Not recorded,-,Barguil et al. (2005),-
