"","Reporter.Countries","Partner.Countries","Value_YearMean","LongitudeReport","LatitudeReport","LongitudePartner","LatitudePartner"
"75","Bangladesh","United Kingdom of Great Britain and Northern Ireland",43.4,90.23812743,23.86731158,-2.86563164,54.12387156
"76","Barbados","Saint Lucia",0.4,-59.559797,13.18145428,-60.96969923,13.89479481
"77","Belarus","Russian Federation",9.6,28.03209307,53.53131377,96.68656112,61.98052209
"78","Belarus","Uzbekistan",1,28.03209307,53.53131377,63.14001528,41.75554225
"79","Belgium","Armenia",18,4.64065114,50.63981576,44.92993276,40.28952569
"80","Belgium","Australia",127,4.64065114,50.63981576,134.4910001,-25.73288704
"81","Belgium","Austria",1114.8,4.64065114,50.63981576,14.1264761,47.58549439
"82","Belgium","Belarus",15.4,4.64065114,50.63981576,28.03209307,53.53131377
"83","Belgium","Bosnia and Herzegovina",26.2,4.64065114,50.63981576,17.76876733,44.17450125
"84","Belgium","Brazil",0.4,4.64065114,50.63981576,-53.09783113,-10.78777702
"85","Belgium","Bulgaria",305.2,4.64065114,50.63981576,25.21552909,42.76890318
"86","Belgium","Côte d'Ivoire",1.2,4.64065114,50.63981576,-5.17,6.49
"87","Belgium","Canada",17.4,4.64065114,50.63981576,-98.30777028,61.36206324
"88","Belgium","China, Hong Kong SAR",3.6,4.64065114,50.63981576,114.1138045,22.39827737
"89","Belgium","China, mainland",0.2,4.64065114,50.63981576,103.8190735,36.56176546
"90","Belgium","China, Taiwan Province of",5.8,4.64065114,50.63981576,120.9542728,23.7539928
"91","Belgium","Croatia",40,4.64065114,50.63981576,16.40412899,45.08047631
"92","Belgium","Cyprus",3.4,4.64065114,50.63981576,33.0060022,34.91667211
"93","Belgium","Czechia",918,4.64065114,50.63981576,15.31240163,49.73341233
"94","Belgium","Denmark",205.8,4.64065114,50.63981576,10.02800992,55.98125296
"95","Belgium","Egypt",10.6,4.64065114,50.63981576,29.86190099,26.49593311
"96","Belgium","Estonia",45.4,4.64065114,50.63981576,25.54248537,58.67192972
"97","Belgium","Finland",62.6,4.64065114,50.63981576,26.2746656,64.49884603
"98","Belgium","France",42355.4,4.64065114,50.63981576,-2.76172945,42.17344011
"99","Belgium","Georgia",0.6,4.64065114,50.63981576,43.50780252,42.16855755
"100","Belgium","Germany",12219,4.64065114,50.63981576,10.38578051,51.10698181
"101","Belgium","Greece",305.8,4.64065114,50.63981576,22.95555794,39.07469623
"102","Belgium","Guinea",0.2,4.64065114,50.63981576,-10.94066612,10.43621593
"103","Belgium","Honduras",4.2,4.64065114,50.63981576,-86.6151661,14.82688165
"104","Belgium","Hungary",182.2,4.64065114,50.63981576,19.39559116,47.16277506
"105","Belgium","Iceland",5.6,4.64065114,50.63981576,-18.57396167,64.99575386
"106","Belgium","India",1.8,4.64065114,50.63981576,79.6119761,22.88578212
"107","Belgium","Indonesia",1,4.64065114,50.63981576,117.2401137,-2.21505456
"108","Belgium","Iran (Islamic Republic of)",3.6,4.64065114,50.63981576,54.27407004,32.57503292
"109","Belgium","Ireland",376.8,4.64065114,50.63981576,-8.13793569,53.1754487
"110","Belgium","Israel",94.4,4.64065114,50.63981576,35.00444693,31.46110101
"111","Belgium","Italy",3210.4,4.64065114,50.63981576,12.07001339,42.79662641
"112","Belgium","Japan",8.4,4.64065114,50.63981576,138.0308956,37.59230135
"113","Belgium","Kazakhstan",4.4,4.64065114,50.63981576,67.29149357,48.15688067
"114","Belgium","Kuwait",1,4.64065114,50.63981576,47.58700459,29.33431262
"115","Belgium","Latvia",149.6,4.64065114,50.63981576,24.91235983,56.85085163
"116","Belgium","Lebanon",14.6,4.64065114,50.63981576,35.88016072,33.92306631
"117","Belgium","Lithuania",15,4.64065114,50.63981576,23.88719355,55.32610984
"118","Belgium","Luxembourg",580.2,4.64065114,50.63981576,6.07182201,49.76725361
"119","Belgium","Malaysia",0.2,4.64065114,50.63981576,109.6976228,3.78986846
"120","Belgium","Malta",9.2,4.64065114,50.63981576,14.40523316,35.92149632
"121","Belgium","Mexico",40.6,4.64065114,50.63981576,-102.5234517,23.94753724
"122","Belgium","Mongolia",7.6,4.64065114,50.63981576,103.0529977,46.82681544
"123","Belgium","Morocco",12.4,4.64065114,50.63981576,-8.45615795,29.83762955
"124","Belgium","Netherlands",128713.4,4.64065114,50.63981576,5.28144793,52.1007899
"125","Belgium","New Zealand",1.2,4.64065114,50.63981576,171.4849235,-41.81113557
"126","Belgium","Norway",434.6,4.64065114,50.63981576,15.34834656,68.75015572
"127","Belgium","Poland",2682.4,4.64065114,50.63981576,19.39012835,52.12759564
"128","Belgium","Portugal",127.6,4.64065114,50.63981576,-8.50104361,39.59550671
